Lang	spBLEU100	spBLEU200	chrF2++	TER	SLR
lin_Latn	2.13	2.55	14.74	93.24	0.461
lit_Latn	30.65	30.65	51.79	65.4	1.004
lmo_Latn	8.39	8.31	30.57	87.94	1.067
ltg_Latn	5.2	5.38	29.12	90.82	1.271
ltz_Latn	29.94	27.49	48.93	67.04	1.003
lua_Latn	0.8	1.09	9.26	98.69	0.376
lug_Latn	0.88	1.27	10.6	97.86	0.379
luo_Latn	0.13	0.15	4.99	100.05	0.234
lus_Latn	3.82	4.67	17.82	98.34	0.553
lvs_Latn	34.08	33.45	55.18	62.43	1.034
mag_Deva	20.36	19.45	39.89	74.85	1.128
mai_Deva	13.02	12.11	31.16	92.32	1.224
mal_Mlym	14.97	14.92	32.03	97.9	1.029
mar_Deva	15.9	14.68	34.56	89.68	1.015
min_Arab	3.56	3.49	14.88	111.23	0.992
min_Latn	13.03	13.07	38.43	78.61	1.142
mkd_Cyrl	36.13	36.54	57.31	54.13	1.03
mlt_Latn	36.73	30.27	49.84	65.89	1.006
mni_Beng	3.52	1.96	10.54	103.93	0.981
mos_Latn	0.1	0.2	4.32	99.46	0.229
mri_Latn	17.4	14.48	34.02	74.87	0.792
mya_Mymr	3.45	2.81	20.57	126.24	1.123
nld_Latn	35.19	36.53	56.66	61.07	1.003
nno_Latn	37.79	38.33	59.36	52.2	1.038
nob_Latn	39.05	39.82	60.23	52.78	1.022
npi_Deva	20.6	19.57	39.29	81.22	1
nso_Latn	4.17	4.61	18.97	90.36	0.593
nus_Latn	0.51	0.54	5.48	104.08	0.345
nya_Latn	5.68	5.46	22.58	91.62	0.692
oci_Latn	34.06	33.29	57.01	53.45	1.077
ory_Orya	15.62	12.63	29.83	101.31	1.048
pag_Latn	7.73	8.35	26.7	84.36	0.71
pan_Guru	24.37	21.51	37.57	77	1.042
pap_Latn	34.45	33.17	56.47	50.92	1.052
pbt_Arab	5.49	5.81	21.09	90.72	0.92
pes_Arab	29.75	30.37	48.81	62.55	1.014
plt_Latn	8.82	8.29	30.89	86.21	0.878
pol_Latn	29.91	32.58	49.99	68.59	1.018
por_Latn	55.91	56.89	71.65	35.31	1.011
prs_Arab	26.94	27.54	47.37	62.8	1.018
quy_Latn	0.47	0.58	9.52	105.09	0.319
ron_Latn	45.01	46.87	64.23	47.66	1.038
run_Latn	2.32	2.34	14.73	101.1	0.545
rus_Cyrl	35.88	38.92	56.51	60.35	1.041
sag_Latn	0.08	0.09	5.06	97.22	0.208
san_Deva	7.1	5.37	22.58	106.87	1.017
sat_Olck	3.68	1.91	14.44	122.89	1.201
scn_Latn	13.46	12.97	37.2	77.62	1.059
shn_Mymr	2.92	1.29	16.58	279.64	1.253
sin_Sinh	5.78	6.93	20.09	108.28	1.045
slk_Latn	37.93	38.38	57	58.56	1.03
slv_Latn	35.53	35.96	55.7	60.45	1.013
smo_Latn	8.83	7.99	26.27	79.97	0.677
sna_Latn	3.15	3.39	16.34	100.38	0.58
snd_Arab	11.96	10.53	24.88	91.15	0.882
som_Latn	7.92	8.07	29.68	89.96	0.981
sot_Latn	4.6	5.43	20.88	90.79	0.669
spa_Latn	33.28	33.93	56.73	59.4	1.07
srd_Latn	19.33	18.47	43.78	68.03	1.054
srp_Cyrl	37.99	37.87	57.18	55.47	1.037
ssw_Latn	0.3	0.52	6.71	99.49	0.274
sun_Latn	14.61	14.52	38.59	77.17	0.985
swe_Latn	50.6	52.22	68.44	39.64	1.016
swh_Latn	39.52	38.56	60.33	49.35	1.017
szl_Latn	13.73	15.1	36.69	80.23	1.131
tam_Taml	13.11	13.4	34.51	94.4	1.052
taq_Latn	0.26	0.28	6.24	106.63	0.299
taq_Tfng	2.51	1.37	8.31	108.64	1.169
tat_Cyrl	10.61	7.32	23.6	102.97	0.864
tel_Telu	18.99	18.01	35.61	87.75	1.023
tgk_Cyrl	15.69	11.74	30.4	88.98	0.957
tgl_Latn	36.41	34.96	60.65	51.05	1.076
tha_Thai	23.01	33.57	43.17	104.05	1.091
tir_Ethi	2.09	1.91	6.73	114.59	1.077
tpi_Latn	18.99	15.78	39.17	81.73	1.003
tsn_Latn	3.58	4.15	18.56	92.15	0.605
tso_Latn	2.88	3.02	15.97	94.26	0.539
tuk_Latn	10.99	7.73	25.92	97.14	0.987
tum_Latn	2.38	2.86	14.8	103.07	0.625
tur_Latn	37.3	38.49	57.83	60.92	1.036
twi_Latn	2.63	3.04	14.21	95.71	0.507
tzm_Tfng	5.24	2.17	11.74	115.22	1.026
uig_Arab	17.91	8.47	24.72	100.61	0.958
ukr_Cyrl	36.13	37.41	55.4	60.34	1.03
umb_Latn	0.12	0.13	4.86	100.09	0.259
urd_Arab	21.73	22.19	41.82	72.61	1.049
uzn_Latn	22.03	18.77	40.9	83.62	1.008
vec_Latn	17.25	17.46	42.79	68.35	1.019
vie_Latn	40.36	40.74	57.92	47.23	1.008
war_Latn	25.92	24.97	49.54	59.18	0.966
wol_Latn	0.65	1.19	8.31	101.78	0.349
xho_Latn	6.1	6.05	23.32	97.42	0.817
ydd_Hebr	26.56	18.68	38.13	71.65	0.946
yor_Latn	4.02	3.28	13.7	97.19	0.678
yue_Hant	30.11	33.76	27.24	143.8	1.019
zho_Hans	32.54	36.51	31.89	188.77	1.084
zho_Hant	26.79	30.38	26.02	164.73	1.052
zsm_Latn	41.1	41.3	64.29	43.59	1.009
zul_Latn	7.95	7.29	26.32	94.62	0.886
